EMPLID,Name,Grade
1000020,"Matthew,Yesd",A5
1000021,"Bear,Hug",A4
1000022,"Soda,Ayo",B2
1000023,"Theo,Thas",A4
1000024,"Shawn,Matt",D2
1000025,"Cat,Dog Duck",A4
1000026,"Coco,shallow",E4
1000027,"Fury,knl Cloe",B1
1000026,"James,Lewis",C1
1000027,"Brock,Brady",C2
1000017,"Bug,Bounty",B1
1000018,"Bruno,Matt",A5
1000019,"Miley,Bret",B1
1000022,"Blue,Black",C2
1000023,"Dean,Josh Lewis",C1
1000024,"Julia,Ruel",B1
1000025,"Sam,Sony",A3
1000028,"Doctor,Who",B2
1000029,"Bugs,Bunny",A5
