EMPLID,Name,Grade
1000003,"Mary, Jennifer Grainy",A3
1000004,"Jones,White Jones",A4
1000016,"Harry,Craney",A3
1000017,"Chuck,Pole",A4
1000018,"Vilam,Whitney",A4
1000019,"Harry,Potter",B1
1000022,"Rebecca,Holder",A5
1000023,"Harris,Hannah Jensen",A4
1000024,"Apo,Wega",B2
1000025,"Janell,Gard",A4
1000012,"Manie,Candela",D2
1000013,"Helen,Oct",A4
1000014,"Bloody,Mary",A3
1000015,"Justin,New",A4
1000016,"Old,Grandpa",A3
1000017,"Mickey,Mouse",A4
1000018,"Donald,Duck",A4
1000019,"Selen,Matt",B1
1000020,"Matthew,Yesd",A5
1000021,"Bear,Hug",A4
1000022,"Soda,Ayo",B2
1000023,"Theo,Thas",A4
1000024,"Shawn,Matt",D2
1000025,"Cat,Dog",A4
1000026,"Coco,shallow",E4
1000027,"Fury,knl",B1
