EMPLID,Name,Grade
1000025,"Leena,Channel",A4
1000026,"Rose,Chris",E4
1000027,"Chris,Lemon",B1
1000026,"Jenny,Lewis",C1
1000027,"Jess,Elsa",C2
1000017,"Olaf,June",B1
1000018,"Jewel,Adam",A5
1000019,"Shine,Jack",B1
1000022,"Blue,Snow",C2
1000023,"Dean,Josh Lewis",C1
1000013,"Ariel,Matt",A5
1000014,"Eve,Adam",D1
1000015,"Jasmine,Ink",C3
1000016,"Ryman,coco",C3
1000017,"Desmond,Chris",A5
1000018,"Rosey,Cheeck",C3
1000019,"Nial,Joe",A5
1000020,"Lili,Pol",B3
1000021,"Mike,Door",D2
1000022,"Quince,We",B1
1000023,"Vanessa,Six Friday",A5
