EMPLID,Name,Grade
8274486,"ocrlo,zqlhz",A4
2626764,"aydwl,gbtva",B2
3079355,"pbooh,kmxrq",A3
1586395,"vlhxf,zxxzp",A3
9401937,"cqsxy,czlqs",D1
3272809,"yjxrq,npjgw",D1
2021557,"xkvnr,bwgrc",B3
4178737,"bgvjc,juhqv",A1
5295947,"jrloe,znryh",C3
6102925,"xyijg,euvbm",B1
3992848,"zlrab,cmurn",B3
8499324,"ouiwx,osyhs",A5
0095036,"bednd,xhkge",A3
7489945,"cwdte,dspww",C1
7321750,"btmqc,qtyxu",C2
6758219,"vqmmo,lhuut",D1
9290216,"goser,wfnfg",D1
4493389,"hpwsy,wbpzt",B1
9881863,"spuhn,kjehr",A1
3362291,"imjtn,jnsrf",D1
4426584,"awlcm,fftpn",A5
6202504,"hzdzt,oxwmr",A2
7376133,"acvkj,eugxn",B3
1523582,"xwjmd,rbhba",B3
9130813,"jttrl,ubqbi",B1
3828840,"tkjze,yfihn",C3
4822528,"okgdm,kvowi",D1
7622659,"vkedk,ybtwt",D3
6250094,"brvme,plwhk",A1
7171816,"rnifj,pabnq",B1
5152846,"kudgt,edkkg",A2
9670437,"zdhmg,wbktw",A2
0253680,"rkazq,zbmjp",C1
6573725,"vsfgr,dbamt",A4
3531919,"jpayo,bupvl",C1
3669406,"xjeou,bfnau",C1
3491903,"blbqa,cgmgc",A2
0894674,"ufxxk,gnnlc",D3
5723138,"fdhuz,beyiy",A4
2842044,"uyjuj,pkwls",C2
4222820,"kwazn,wysqw",A1
3473954,"emdfn,yfbwu",A4
1064079,"himwo,dhnui",B2
9529069,"iekld,kpsej",B3
0083527,"jzrpo,zzkrt",A4
4674846,"yyauy,hmlzl",C1
4692995,"cpgxb,cexhe",B3
1961539,"fyqyj,aiins",A3
3002046,"kneyi,kahas",A5
5495396,"fqltf,pbvsi",A4
1567007,"lmoqm,iobks",D3
2769401,"vcwsy,rggir",A5
5523140,"bovdr,hvyvj",A3
1848480,"kbpsk,zvnjh",A3
7355633,"lnqdy,hsfil",D3
8307841,"aziro,wgltk",D3
9783005,"ugpyt,yjvbb",D1
6117723,"prwho,lrglq",B3
4693690,"lnkzf,bduhk",D2
6346157,"hkqgb,tgana",D2
2608543,"xccoi,xtyut",D1
8840605,"xadly,nupfu",C1
2718570,"nzbrh,nppcp",C3
3900045,"rsrpq,nrdan",D2
1744050,"rtgtc,vnarx",C3
5672827,"txtot,afquo",A2
4648703,"jyyzv,mjpcb",B1
3238448,"zwvlg,talhx",D2
8230375,"ptcqm,wkkjj",D2
9584606,"qhrks,djjhg",D2
0645670,"rcbjh,esuno",A4
8425183,"qthza,ytraq",B2
0257492,"hjfxh,qrowh",D3
9590993,"auyfw,satbi",C2
6861290,"ikwyy,nlqgv",D1
